transaction_id,customer_id,transaction_amount,transaction_time,payment_method,product_category,customer_age,account_age_days,device_type,customer_location,previous_transaction_count,failed_transaction_count,is_new_device,is_new_location,night_transaction,is_fraud,transaction_hour,amount_log,failure_rate,customer_avg_amount,amount_deviation,risk_signal_score
TXN000001,CUST8270,738.33,2026-01-01 00:00:00,Net Banking,Sports,65,785,Desktop,Kolkata,26,9,0,0,0,0,0,6.6057443706657635,0.3333333333333333,496.58500000000004,1.4838268838489905,1.6666666666666665
TXN000002,CUST1860,225.84,2026-01-01 00:10:00,Wallet,Home,38,100,Tablet,Bhubaneswar,98,4,0,0,0,0,0,5.424244923145827,0.04040404040404041,708.5433333333334,0.3182892282829801,0.08080808080808081
TXN000003,CUST6390,877.63,2026-01-01 00:20:00,Debit Card,Sports,25,2339,Tablet,Bhubaneswar,54,9,0,0,0,0,0,6.778363876189793,0.16363636363636364,1099.6,0.7974105033618027,1.3272727272727272
TXN000004,CUST6191,437.25,2026-01-01 00:30:00,Net Banking,Beauty,35,934,Tablet,Bhubaneswar,0,1,0,0,0,0,0,6.082789523801344,1.0,796.1455555555556,0.5485196485794452,2.0
TXN000005,CUST6734,803.86,2026-01-01 00:40:00,Net Banking,Electronics,35,812,Desktop,Chennai,47,1,0,0,0,0,0,6.690668349250458,0.020833333333333332,637.3225,1.2593320774373455,1.0416666666666667
TXN000006,CUST7265,150.61,2026-01-01 00:50:00,Debit Card,Clothing,42,12,Mobile,Bhubaneswar,15,1,0,0,0,0,0,5.021311434093491,0.0625,657.645,0.22866642880459126,0.125
TXN000007,CUST1466,375.99,2026-01-01 01:00:00,Wallet,Beauty,53,693,Desktop,Hyderabad,40,7,0,0,1,0,1,5.932218661897273,0.17073170731707318,651.3157142857143,0.5763926757639267,0.8414634146341464
TXN000008,CUST5426,1364.82,2026-01-01 01:10:00,Wallet,Home,42,2323,Desktop,Hyderabad,1,5,0,0,0,1,1,7.219510259852195,2.5,754.1555555555556,1.8073362368312635,7.0
TXN000009,CUST6578,2009.22,2026-01-01 01:20:00,UPI,Home,23,1305,Tablet,Mumbai,46,5,1,1,1,1,1,7.605999447799926,0.10638297872340426,831.5066666666667,2.4134581504852815,4.712765957446809
TXN000010,CUST9322,765.44,2026-01-01 01:30:00,Net Banking,Beauty,47,100,Desktop,Bhubaneswar,58,3,0,0,0,0,1,6.641756417361498,0.05084745762711865,647.6,1.1801418439716314,1.1016949152542372
TXN000011,CUST2685,389.14,2026-01-01 01:40:00,Wallet,Grocery,31,1322,Mobile,Pune,50,0,0,0,1,0,1,5.966505649066787,0.0,652.2025,0.5957417493043887,0.5
TXN000012,CUST1769,284.69,2026-01-01 01:50:00,Debit Card,Electronics,40,1541,Mobile,Chennai,20,5,1,0,1,1,1,5.6549073068740645,0.23809523809523808,1837.9783333333335,0.154808784225299,1.9761904761904763
TXN000013,CUST7949,244.59,2026-01-01 02:00:00,Debit Card,Beauty,34,2349,Desktop,Bhubaneswar,18,6,0,0,0,0,2,5.503663478831665,0.3157894736842105,326.174,0.747583854462763,0.631578947368421
TXN000014,CUST3433,244.14,2026-01-01 02:10:00,Debit Card,Home,66,1684,Mobile,Chennai,79,7,0,0,0,0,2,5.501829475913019,0.0875,643.315,0.3789140404926161,0.175
TXN000015,CUST6311,211.21,2026-01-01 02:20:00,Net Banking,Beauty,29,1,Desktop,Kolkata,79,6,1,0,0,0,2,5.357576350422958,0.075,447.83900000000006,0.47056962518854195,1.15
TXN000016,CUST6051,452.75,2026-01-01 02:30:00,Credit Card,Home,25,2429,Tablet,Bangalore,7,1,1,1,0,0,2,6.11754638557906,0.125,657.9541666666667,0.6870735825076352,2.25
TXN000017,CUST7420,274.36,2026-01-01 02:40:00,Wallet,Electronics,33,533,Desktop,Bangalore,40,2,1,0,0,0,2,5.618079332463229,0.04878048780487805,515.0818181818182,0.531621131251211,1.0975609756097562
TXN000018,CUST2184,856.27,2026-01-01 02:50:00,Credit Card,Grocery,21,1536,Mobile,Pune,50,2,0,1,0,0,2,6.753752921487911,0.0392156862745098,398.0254545454545,2.1459032005249155,2.0784313725490193
TXN000019,CUST5555,706.61,2026-01-01 03:00:00,Credit Card,Home,18,445,Tablet,Delhi,74,9,0,1,0,1,3,6.561893094463894,0.12,648.0844444444444,1.088625688148777,2.24
TXN000020,CUST4385,1476.63,2026-01-01 03:10:00,UPI,Clothing,61,42,Mobile,Bangalore,73,8,0,0,1,1,3,7.298194731873292,0.10810810810810811,376.61400000000003,3.910421753430752,2.7162162162162162
TXN000021,CUST7396,867.88,2026-01-01 03:20:00,Debit Card,Home,58,437,Mobile,Bangalore,48,0,0,0,0,0,3,6.767205025971781,0.0,540.165,1.6037252963513902,1.0
TXN000022,CUST9666,1139.28,2026-01-01 03:30:00,Debit Card,Sports,58,304,Desktop,Delhi,53,8,0,0,1,1,3,7.03902912526544,0.14814814814814814,455.942,2.4932704807174653,2.7962962962962963
TXN000023,CUST3558,217.43,2026-01-01 03:40:00,Debit Card,Clothing,33,2378,Mobile,Bhubaneswar,47,9,0,0,0,0,3,5.3864655970747295,0.1875,308.1725,0.7032643588934979,0.375
